source_url	parsed_url
https://1.1.1.1/	https://1.1.1.1/#a
https://1.1.1.1/	https://1.1.1.1/favicon.ico
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/linux/
https://1.1.1.1/	https://1.1.1.1/media/manifest.json
https://1.1.1.1/	https://1.1.1.1/Cloudflare_WARP_Release-x64.msi
https://1.1.1.1/	https://pkg.cloudflareclient.com/
https://1.1.1.1/	https://1.1.1.1/#b
https://1.1.1.1/	https://1.1.1.1/dns/
https://1.1.1.1/	https://cloudflare.com
https://1.1.1.1/	https://1.1.1.1/family/
https://1.1.1.1/	https://itunes.apple.com/us/app/1-1-1-1-faster-internet/id1423538627
https://1.1.1.1/	https://1.1.1.1
https://1.1.1.1/	https://1.1.1.1/Cloudflare_WARP.zip
https://1.1.1.1/	https://blog.cloudflare.com/warp-for-desktop
https://1.1.1.1/	https://twitter.com/intent/tweet?text=ISPs%20spy%20on%20your%20Internet%20traffic%20and%20sell%20the%20data.%20I%27m%20using%201.1.1.1%20with%20WARP%2C%20a%20free%20app%20which%20makes%20the%20Internet%20on%20my%20phone%20faster%20and%20more%20private.%20You%20should%20get%20the%20app%20too%3A%20https%3A//one.one.one.one
https://1.1.1.1/	https://www.cloudflare.com/careers/departments/
https://1.1.1.1/	https://1.1.1.1/site-1c73aade914cfb299614.css
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/macOS/
https://1.1.1.1/	https://play.google.com/store/apps/details?id=com.cloudflare.onedotonedotonedotone
https://1.1.1.1/	https://developers.cloudflare.com/warpclient/setting-up/windows/
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-loaded-gun-aimed-american-democracy
https://www.mediamatters.org/	https://www.mediamatters.org/mark-levin/fox-host-mark-levin-were-losing-red-state-america-and-they-are-doing-it-they-are
https://www.mediamatters.org/	https://www.youtube.com/channel/UC_70iWZ6ym2cglS_kv5YfmA
https://www.mediamatters.org/	https://www.mediamatters.org/#instagram
https://www.mediamatters.org/	https://www.mediamatters.org/fox-nation/tucker-carlson-guest-warns-well-be-put-camps-if-we-dont-push-back-against-democrats
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_VMSLttmpBLA885ZXp-7B7fr04v8HZICSqDMp9cRylNY.css
https://www.mediamatters.org/	https://www.mediamatters.org/jeanine-pirro/these-are-jeanine-pirros-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/these-are-laura-ingrahams-leading-advertisers
https://www.mediamatters.org/	https://use.typekit.net/jqh3ujo.css
https://www.mediamatters.org/	https://www.mediamatters.org/take-action
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-has-aired-more-segments-trans-athletes-so-far-2021-it-did-last-two-years-combined
https://www.mediamatters.org/	https://twitter.com/mmfa
https://www.mediamatters.org/	https://www.mediamatters.org/#main-content
https://www.mediamatters.org/	https://www.mediamatters.org/diversity-discrimination/coverage-simone-biles-right-wing-pundits-continue-their-attacks-black
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-praises-alex-jones-covid-commentary
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-returns-fox-news-advertisers-are-staying-away
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/after-years-climate-denial-there-no-reason-trust-fox-weather
https://www.mediamatters.org/	https://www.mediamatters.org/mark-levin/fox-host-mark-levin-defends-my-pillow-ceo-mike-lindell-people-trying-take-him-out
https://www.mediamatters.org/	https://www.mediamatters.org/critical-race-theory/right-attacking-trans-people-part-its-critical-race-theory-political-tactic
https://www.mediamatters.org/	https://www.mediamatters.org/#study
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-manufactures-dissent-over-officers-searing-select-committee-testimony
https://www.mediamatters.org/	https://www.facebook.com/Mediamatters/
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/hannity-predicts-delta-variant-will-begin-disappear-its-own-6-weeks
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/anti-vax-persuasion-problem-about-right-wing-sabotage
https://www.mediamatters.org/	https://www.mediamatters.org/these-are-tucker-carlsons-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/#article
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/fox-news-lies-about-history-vaccine-mandates-suggesting-people-will-resist-and
https://www.mediamatters.org/	https://www.mediamatters.org/?page=0
https://www.mediamatters.org/	https://www.mediamatters.org/critical-race-theory/former-trump-appointee-linked-critical-race-theory-legislation-over-20-states
https://www.mediamatters.org/	https://www.mediamatters.org/sinclair-broadcast-group/sinclair-reporting-misleadingly-portrays-federal-efforts-limit-gun
https://www.mediamatters.org/	https://www.mediamatters.org/contact-us
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/these-are-fox-news-leading-advertisers
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-critical-race-theory-obsession
https://www.mediamatters.org/	https://www.mediamatters.org/nratv/nratv-now-finished-here-are-bigotry-lies-and-hatred-nra-tolerated-years
https://www.mediamatters.org/	https://www.mediamatters.org/#facebook
https://www.mediamatters.org/	https://www.mediamatters.org/lachlan-murdoch/lachlan-murdoch-continues-lie-advertising-industry
https://www.mediamatters.org/	https://www.mediamatters.org/#audio
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/fox-news-attacks-biden-administration-implementing-foxs-own-vaccine-policy-its
https://www.mediamatters.org/	https://www.mediamatters.org/critical-race-theory/guide-right-wing-medias-critical-race-theory-strategy
https://www.mediamatters.org/	https://www.mediamatters.org/sinclair-broadcast-group/sinclair-broadcast-group-guest-uses-antisemitic-language-attack
https://www.mediamatters.org/	https://www.mediamatters.org/one-america-news-network/watch-how-one-oan-host-relentlessly-fundraises-spread-fraudulent-arizona
https://www.mediamatters.org/	https://www.mediamatters.org/one-america-news-network/how-oan-figures-call-mass-executions-connected-arizona-ballot-audit
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-host-kayleigh-mcenany-democrats-are-aggregating-power-allowing-illegal-immigrants
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/heres-how-you-can-take-action-hold-tucker-carlson-accountable
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/anti-trans-bills-are-tearing-right-inside
https://www.mediamatters.org/	https://www.mediamatters.org/#video
https://www.mediamatters.org/	https://www.instagram.com/mediamattersforamerica/
https://www.mediamatters.org/	https://www.mediamatters.org/sinclair-broadcast-group/sinclair-infrastructure-coverage-centers-corporate-front-groups-pushing
https://www.mediamatters.org/	https://www.mediamatters.org/studies
https://www.mediamatters.org/	https://www.mediamatters.org/job-openings
https://www.mediamatters.org/	https://www.mediamatters.org/
https://www.mediamatters.org/	https://www.mediamatters.org/homepage
https://www.mediamatters.org/	https://www.mediamatters.org/archives
https://www.mediamatters.org/	https://fonts.googleapis.com/css?family=Barlow:400,400i,600,600i,700,700i
https://www.mediamatters.org/	https://www.mediamatters.org/climate-energy
https://www.mediamatters.org/	https://www.mediamatters.org/sean-hannity/these-are-sean-hannitys-leading-advertisers
https://www.mediamatters.org/	https://mediamattersforamerica.tumblr.com/
https://www.mediamatters.org/	https://www.mediamatters.org/january-6-insurrection/right-wing-media-have-waged-full-scale-campaign-cover-events-january-6
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-ran-nearly-80-segments-critical-race-theory-single-virginia-school-district
https://www.mediamatters.org/	https://www.mediamatters.org/#tumblr
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-obsession-critical-race-theory-numbers
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/foxs-ongoing-assault-coronavirus-vaccination-campaign-going-kill-its-viewers
https://www.mediamatters.org/	https://www.mediamatters.org/news-analysis
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/facebook-grants-transparency-only-help-its-own-image
https://www.mediamatters.org/	https://www.mediamatters.org/broadcast-networks/broadcast-tv-news-shows-link-western-heat-wave-and-drought-climate-change-27
https://www.mediamatters.org/	https://www.mediamatters.org/terms-conditions
https://www.mediamatters.org/	https://www.mediamatters.org/#youtube
https://www.mediamatters.org/	https://www.mediamatters.org/privacy
https://www.mediamatters.org/	https://www.mediamatters.org/submissions
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/foxs-anti-critical-race-theory-parents-are-also-gop-activists
https://www.mediamatters.org/	https://www.mediamatters.org/kamala-harris/right-wing-media-turn-anti-abortion-attacks-against-kamala-harris
https://www.mediamatters.org/	https://www.mediamatters.org/tucker-carlson/tucker-carlson-claims-covid-vaccine-killing-people-and-government-and-media-are
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/despite-facebooks-covid-19-promises-anti-vaccine-groups-are-thriving
https://www.mediamatters.org/	https://www.mediamatters.org/audio-video
https://www.mediamatters.org/	https://www.mediamatters.org/one-america-news-network/oan-cesspool-anti-lgbtq-hate-its-supported-these-cable-providers-and
https://www.mediamatters.org/	https://www.mediamatters.org/sinclair-broadcast-group/sinclair-broadcast-group-report-people-act-whitewashed-gops-nationwide
https://www.mediamatters.org/	https://www.mediamatters.org/#arrow
https://www.mediamatters.org/	https://www.mediamatters.org/#twitter
https://www.mediamatters.org/	https://www.mediamatters.org/facebook/facebooks-responses-oversight-board-are-sham
https://www.mediamatters.org/	https://www.mediamatters.org/one-america-news-network/oans-months-long-campaign-against-covid-19-vaccines
https://www.mediamatters.org/	https://www.mediamatters.org/#search
https://www.mediamatters.org/	https://www.mediamatters.org/search
https://www.mediamatters.org/	https://www.mediamatters.org/themes/custom/mmfa_theme/favicon.ico
https://www.mediamatters.org/	https://www.mediamatters.org/corrections
https://www.mediamatters.org/	https://www.mediamatters.org/abortion-rights-and-reproductive-health
https://www.mediamatters.org/	https://www.mediamatters.org/one-america-news-network/oans-shady-involvement-conspiracy-theory-based-arizona-election-audit
https://www.mediamatters.org/	https://www.mediamatters.org/?page=1
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-has-undermined-vaccination-efforts-nearly-60-all-vaccination-segments-2-week-period
https://www.mediamatters.org/	https://www.mediamatters.org/coronavirus-covid-19/fox-news-anti-vaccine-campaign-isnt-over
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_vUt0GK4OfEXUi5i0VJuEV9nf8bDJwmJWZVb1Ca5G1yM.css
https://www.mediamatters.org/	https://www.mediamatters.org/cable-news/cable-news-programs-lag-behind-their-broadcast-news-counterparts-linking-climate-change
https://www.mediamatters.org/	https://www.mediamatters.org/fox-news/fox-news-attempts-rehabilitate-its-ratings-returning-tirades-against-abortion
https://www.mediamatters.org/	https://www.mediamatters.org/mike-lindell/mike-lindell-says-hes-pulling-mypillow-ads-fox-news-heres-what-means
https://www.mediamatters.org/	https://www.mediamatters.org/cnn/cable-news-fails-cover-gun-violence-public-health-crisis-it
https://www.mediamatters.org/	https://www.mediamatters.org/2020-supreme-court-vacancy/dont-believe-right-wing-media-overturning-roe-v-wade-big-deal
https://www.mediamatters.org/	https://www.mediamatters.org/about
https://www.mediamatters.org/	https://www.mediamatters.org/guns-public-safety
https://www.mediamatters.org/	https://www.mediamatters.org/cable-news/broadcast-and-cable-news-coverage-latest-record-breaking-heat-wave-west-mentioned
https://www.mediamatters.org/	https://action.mediamatters.org/secure/donate
https://www.mediamatters.org/	https://www.mediamatters.org/sites/default/files/css/css_oGZ7OLJDM4FApNs8xyoZMUIkjUZCXrNP16OA9NXAcMA.css
https://www.mediamatters.org/	https://www.mediamatters.org/newsmax/newsmax-host-i-still-have-concerns-about-election-2020-and-its-okay-have-concerns
https://www.mediamatters.org/	https://www.mediamatters.org/january-6-insurrection
https://www.mediamatters.org/	https://www.mediamatters.org/lgbtq
https://regex101.com/	https://regex101.com/static/assets/icon-72.png
https://regex101.com/	https://regex101.com/static/assets/icon-96.png
https://regex101.com/	https://regex101.com/library
https://regex101.com/	https://regex101.com/static/4.a0700f24d468995b2fe3.css
https://regex101.com/	https://www.paypal.com/cgi-bin/webscr?cmd=_donations&amp;business=firas%2edib%40gmail%2ecom&amp;lc=US&amp;item_name=Regex101&amp;no_note=0&amp;currency_code=USD&amp;bn=PP%2dDonationsBF%3abtn_donate_SM%2egif%3aNonHostedGuest
https://regex101.com/	https://regex101.com/static/assets/icon-16.png
https://regex101.com/	https://regex101.com/static/assets/manifest.webmanifest
https://regex101.com/	https://regex101.com/static/assets/icon-32.png
https://regex101.com/	mailto:contact@regex101.com
